"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","nhs",16,NA,NA,NA,"RELIGION","nilo1247",9
"ANY","null",0.53,0,2,0.1964,"RELIGION","saha1256",8
"ANY","nhs",2,NA,NA,NA,"RELIGION","saha1256",8
"ANY","null",23.4638,15,33,0,"RELIGION","sino1245",49
"ANY","nhs",43,NA,NA,NA,"RELIGION","sino1245",49
"ANY","null",23.7972,15,34,0,"RELIGION","taik1256",20
"ANY","nhs",69,NA,NA,NA,"RELIGION","taik1256",20
"ANY","null",16.9076,9,26,0.0136,"RELIGION","tuca1253",14
"ANY","nhs",29,NA,NA,NA,"RELIGION","tuca1253",14
"ANY","null",10.212,4,17,0,"RELIGION","tupi1275",8
"ANY","nhs",42,NA,NA,NA,"RELIGION","tupi1275",8
"ANY","null",14.301,9,21,0.112,"RELIGION","turk1311",13
"ANY","nhs",20,NA,NA,NA,"RELIGION","turk1311",13
"ANY","null",16.0718,9,25,0,"RELIGION","ural1272",18
"ANY","nhs",76,NA,NA,NA,"RELIGION","ural1272",18
"ANY","null",7.7742,3,14,0,"RELIGION","utoa1244",7
"ANY","nhs",30,NA,NA,NA,"RELIGION","utoa1244",7
"ANY","null",2.107,0,5,0,"RELIGION","yano1268",7
"ANY","nhs",15,NA,NA,NA,"RELIGION","yano1268",7
"ANY","null",14.0612,7,22,0.0596000000000001,"HEALING","afro1255",64
"ANY","nhs",8,NA,NA,NA,"HEALING","afro1255",64
"ANY","null",103.752,86,123,0,"HEALING","algi1248",60
"ANY","nhs",180,NA,NA,NA,"HEALING","algi1248",60
"ANY","null",139.7508,118,162,0.3596,"HEALING","atha1245",23
"ANY","nhs",151,NA,NA,NA,"HEALING","atha1245",23
"ANY","null",25.9504,17,36,0.3664,"HEALING","atla1278",134
"ANY","nhs",31,NA,NA,NA,"HEALING","atla1278",134
"ANY","null",20.379,12,30,0.0791999999999999,"HEALING","aust1305",25
"ANY","nhs",13,NA,NA,NA,"HEALING","aust1305",25
"ANY","null",94.55,82,107,0.8732,"HEALING","aust1307",48
"ANY","nhs",94,NA,NA,NA,"HEALING","aust1307",48
"ANY","null",1.5134,0,4,0,"HEALING","ayma1253",11
"ANY","nhs",0,NA,NA,NA,"HEALING","ayma1253",11
"ANY","null",19.6348,11,29,0.0144,"HEALING","boro1281",10
"ANY","nhs",10,NA,NA,NA,"HEALING","boro1281",10
"ANY","null",82.9186,66,100,0,"HEALING","chib1249",34
"ANY","nhs",167,NA,NA,NA,"HEALING","chib1249",34
"ANY","null",22.5534,13,32,0,"HEALING","chon1288",6
"ANY","nhs",89,NA,NA,NA,"HEALING","chon1288",6
"ANY","null",10.8414,5,17,0,"HEALING","chuk1271",9
"ANY","nhs",45,NA,NA,NA,"HEALING","chuk1271",9
"ANY","null",2.2574,0,6,0.264,"HEALING","dogo1299",18
"ANY","nhs",1,NA,NA,NA,"HEALING","dogo1299",18
"ANY","null",6.5178,2,12,0.65,"HEALING","eski1264",19
"ANY","nhs",8,NA,NA,NA,"HEALING","eski1264",19
"ANY","null",9.5844,4,16,0.1704,"HEALING","indo1319",68
"ANY","nhs",6,NA,NA,NA,"HEALING","indo1319",68
"ANY","null",37.7784,27,49,4e-04,"HEALING","kore1284",42
"ANY","nhs",58,NA,NA,NA,"HEALING","kore1284",42
"ANY","null",17.968,13,23,0,"HEALING","mata1289",6
"ANY","nhs",31,NA,NA,NA,"HEALING","mata1289",6
"ANY","null",1.6534,0,5,0,"HEALING","maya1287",7
"ANY","nhs",0,NA,NA,NA,"HEALING","maya1287",7
"ANY","null",1.2668,0,4,0.5644,"HEALING","nilo1247",9
"ANY","nhs",1,NA,NA,NA,"HEALING","nilo1247",9
"ANY","null",0.3896,0,2,0,"HEALING","saha1256",8
"ANY","nhs",0,NA,NA,NA,"HEALING","saha1256",8
"ANY","null",5.4476,1,11,0.4272,"HEALING","sino1245",49
"ANY","nhs",4,NA,NA,NA,"HEALING","sino1245",49
"ANY","null",5.754,1,11,0,"HEALING","taik1256",20
"ANY","nhs",18,NA,NA,NA,"HEALING","taik1256",20
"ANY","null",13.8148,7,22,0.0224,"HEALING","tuca1253",14
"ANY","nhs",24,NA,NA,NA,"HEALING","tuca1253",14
"ANY","null",4.841,1,10,8e-04,"HEALING","tupi1275",8
"ANY","nhs",15,NA,NA,NA,"HEALING","tupi1275",8
"ANY","null",11.9434,7,17,0,"HEALING","turk1311",13
"ANY","nhs",24,NA,NA,NA,"HEALING","turk1311",13
"ANY","null",6.989,2,13,0,"HEALING","ural1272",18
"ANY","nhs",22,NA,NA,NA,"HEALING","ural1272",18
"ANY","null",7.9776,3,14,0,"HEALING","utoa1244",7
"ANY","nhs",28,NA,NA,NA,"HEALING","utoa1244",7
"ANY","null",2.3846,0,6,0,"HEALING","yano1268",7
"ANY","nhs",19,NA,NA,NA,"HEALING","yano1268",7
"ANY","null",1.5128,0,4,0.9168,"LULLABIES","afro1255",64
"ANY","nhs",2,NA,NA,NA,"LULLABIES","afro1255",64
"ANY","null",4.8818,1,9,0.8916,"LULLABIES","algi1248",60
"ANY","nhs",5,NA,NA,NA,"LULLABIES","algi1248",60
"ANY","null",3.4954,0,7,0.0511999999999999,"LULLABIES","atha1245",23
"ANY","nhs",1,NA,NA,NA,"LULLABIES","atha1245",23
"ANY","null",6.5964,2,12,0.222,"LULLABIES","atla1278",134
"ANY","nhs",10,NA,NA,NA,"LULLABIES","atla1278",134
"ANY","null",0.189,0,1,0,"LULLABIES","aust1305",25
"ANY","nhs",0,NA,NA,NA,"LULLABIES","aust1305",25
"ANY","null",1.3462,0,4,0.0052,"LULLABIES","aust1307",48
"ANY","nhs",6,NA,NA,NA,"LULLABIES","aust1307",48
"ANY","null",0.1948,0,1,0,"LULLABIES","ayma1253",11
"ANY","nhs",0,NA,NA,NA,"LULLABIES","ayma1253",11
"ANY","null",0.449,0,2,0,"LULLABIES","boro1281",10
"ANY","nhs",0,NA,NA,NA,"LULLABIES","boro1281",10
"ANY","null",3.352,1,7,0.2024,"LULLABIES","chib1249",34
"ANY","nhs",6,NA,NA,NA,"LULLABIES","chib1249",34
"ANY","null",1.6554,0,4,0.9876,"LULLABIES","chon1288",6
"ANY","nhs",2,NA,NA,NA,"LULLABIES","chon1288",6
"ANY","null",0.2388,0,1,0,"LULLABIES","chuk1271",9
"ANY","nhs",0,NA,NA,NA,"LULLABIES","chuk1271",9
"ANY","null",1.2144,0,4,0.2308,"LULLABIES","dogo1299",18
"ANY","nhs",3,NA,NA,NA,"LULLABIES","dogo1299",18
"ANY","null",1.2542,0,3,0.104,"LULLABIES","eski1264",19
"ANY","nhs",3,NA,NA,NA,"LULLABIES","eski1264",19
"ANY","null",1.2538,0,4,0.5452,"LULLABIES","indo1319",68
"ANY","nhs",1,NA,NA,NA,"LULLABIES","indo1319",68
"ANY","null",0.407,0,2,0.6832,"LULLABIES","kore1284",42
"ANY","nhs",1,NA,NA,NA,"LULLABIES","kore1284",42
"ANY","null",0.0102,0,0,0,"LULLABIES","mata1289",6
"ANY","nhs",0,NA,NA,NA,"LULLABIES","mata1289",6
"ANY","null",0.0916,0,1,0.1788,"LULLABIES","maya1287",7
"ANY","nhs",1,NA,NA,NA,"LULLABIES","maya1287",7
"ANY","null",0.1076,0,1,0.2036,"LULLABIES","nilo1247",9
"ANY","nhs",1,NA,NA,NA,"LULLABIES","nilo1247",9
"ANY","null",0.0824,0,1,0.1584,"LULLABIES","saha1256",8
"ANY","nhs",1,NA,NA,NA,"LULLABIES","saha1256",8
"ANY","null",0.6496,0,2,0.9864,"LULLABIES","sino1245",49
"ANY","nhs",1,NA,NA,NA,"LULLABIES","sino1245",49
"ANY","null",0.743,0,3,0.0016,"LULLABIES","taik1256",20
"ANY","nhs",5,NA,NA,NA,"LULLABIES","taik1256",20
"ANY","null",0.4318,0,2,0,"LULLABIES","tuca1253",14
"ANY","nhs",0,NA,NA,NA,"LULLABIES","tuca1253",14
"ANY","null",0.0622,0,1,0,"LULLABIES","tupi1275",8
"ANY","nhs",0,NA,NA,NA,"LULLABIES","tupi1275",8
"ANY","null",0.323,0,2,0.5632,"LULLABIES","turk1311",13
"ANY","nhs",1,NA,NA,NA,"LULLABIES","turk1311",13
"ANY","null",1.089,0,3,0.6604,"LULLABIES","ural1272",18
"ANY","nhs",1,NA,NA,NA,"LULLABIES","ural1272",18
"ANY","null",0.337,0,2,0,"LULLABIES","utoa1244",7
"ANY","nhs",0,NA,NA,NA,"LULLABIES","utoa1244",7
"ANY","null",0.6512,0,2,0,"LULLABIES","yano1268",7
"ANY","nhs",0,NA,NA,NA,"LULLABIES","yano1268",7
"ANY","null",22.1686,14,31,0.7384,"LOVE","afro1255",64
"ANY","nhs",24,NA,NA,NA,"LOVE","afro1255",64
