"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","nhs",9,NA,NA,NA,"HEALING","NHS-R20",11
"ANY","null",74.1134,59.975,90,0.0024,"HEALING","NHS-R21",28
"ANY","nhs",99,NA,NA,NA,"HEALING","NHS-R21",28
"ANY","null",6.989,2,13,0,"HEALING","NHS-R23",18
"ANY","nhs",22,NA,NA,NA,"HEALING","NHS-R23",18
"ANY","null",24.1556,15,35,0.00960000000000005,"HEALING","NHS-R24",51
"ANY","nhs",13,NA,NA,NA,"HEALING","NHS-R24",51
"ANY","null",100.304,87,114,0.1016,"HEALING","NHS-R25",68
"ANY","nhs",112,NA,NA,NA,"HEALING","NHS-R25",68
"ANY","null",6.8594,2,12,0.364,"HEALING","NHS-R26",25
"ANY","nhs",5,NA,NA,NA,"HEALING","NHS-R26",25
"ANY","null",4.5542,1,10,0.1196,"HEALING","NHS-R27",18
"ANY","nhs",9,NA,NA,NA,"HEALING","NHS-R27",18
"ANY","null",40.5214,30,52,0,"HEALING","NHS-R28",12
"ANY","nhs",120,NA,NA,NA,"HEALING","NHS-R28",12
"ANY","null",20.1494,12,29,0.1028,"HEALING","NHS-R30",114
"ANY","nhs",14,NA,NA,NA,"HEALING","NHS-R30",114
"ANY","null",1.4156,0,4,0,"LULLABIES","NHS-R01",28
"ANY","nhs",0,NA,NA,NA,"LULLABIES","NHS-R01",28
"ANY","null",3.827,1,7,0.912,"LULLABIES","NHS-R02",51
"ANY","nhs",4,NA,NA,NA,"LULLABIES","NHS-R02",51
"ANY","null",0.056,0,1,0,"LULLABIES","NHS-R04",19
"ANY","nhs",0,NA,NA,NA,"LULLABIES","NHS-R04",19
"ANY","null",2.0442,0,5,0.2808,"LULLABIES","NHS-R05",27
"ANY","nhs",4,NA,NA,NA,"LULLABIES","NHS-R05",27
"ANY","null",0.3248,0,2,0.08,"LULLABIES","NHS-R06",23
"ANY","nhs",2,NA,NA,NA,"LULLABIES","NHS-R06",23
"ANY","null",0.1948,0,1,0,"LULLABIES","NHS-R07",11
"ANY","nhs",0,NA,NA,NA,"LULLABIES","NHS-R07",11
"ANY","null",0.6004,0,2,0.9224,"LULLABIES","NHS-R08",74
"ANY","nhs",1,NA,NA,NA,"LULLABIES","NHS-R08",74
"ANY","null",3.1104,0,6,0.3668,"LULLABIES","NHS-R09",60
"ANY","nhs",5,NA,NA,NA,"LULLABIES","NHS-R09",60
"ANY","null",0.604,0,2,0,"LULLABIES","NHS-R10",26
"ANY","nhs",0,NA,NA,NA,"LULLABIES","NHS-R10",26
"ANY","null",0.0916,0,1,0.1788,"LULLABIES","NHS-R12",7
"ANY","nhs",1,NA,NA,NA,"LULLABIES","NHS-R12",7
"ANY","null",0.1354,0,1,0,"LULLABIES","NHS-R15",6
"ANY","nhs",0,NA,NA,NA,"LULLABIES","NHS-R15",6
"ANY","null",0.5618,0,2,0.8704,"LULLABIES","NHS-R16",22
"ANY","nhs",1,NA,NA,NA,"LULLABIES","NHS-R16",22
"ANY","null",0.1684,0,1,0,"LULLABIES","NHS-R17",14
"ANY","nhs",0,NA,NA,NA,"LULLABIES","NHS-R17",14
"ANY","null",0.337,0,2,0,"LULLABIES","NHS-R18",7
"ANY","nhs",0,NA,NA,NA,"LULLABIES","NHS-R18",7
"ANY","null",3.4954,0,7,0.0511999999999999,"LULLABIES","NHS-R19",23
"ANY","nhs",1,NA,NA,NA,"LULLABIES","NHS-R19",23
"ANY","null",3.0272,0,6,0.716,"LULLABIES","NHS-R20",11
"ANY","nhs",4,NA,NA,NA,"LULLABIES","NHS-R20",11
"ANY","null",2.309,0,5,0.3772,"LULLABIES","NHS-R21",28
"ANY","nhs",4,NA,NA,NA,"LULLABIES","NHS-R21",28
"ANY","null",1.089,0,3,0.6604,"LULLABIES","NHS-R23",18
"ANY","nhs",1,NA,NA,NA,"LULLABIES","NHS-R23",18
"ANY","null",0.8696,0,3,0.782,"LULLABIES","NHS-R24",51
"ANY","nhs",1,NA,NA,NA,"LULLABIES","NHS-R24",51
"ANY","null",2.0892,0,5,4e-04,"LULLABIES","NHS-R25",68
"ANY","nhs",11,NA,NA,NA,"LULLABIES","NHS-R25",68
"ANY","null",0.6348,0,2,0.962,"LULLABIES","NHS-R26",25
"ANY","nhs",1,NA,NA,NA,"LULLABIES","NHS-R26",25
"ANY","null",0.8624,0,3,0,"LULLABIES","NHS-R27",18
"ANY","nhs",0,NA,NA,NA,"LULLABIES","NHS-R27",18
"ANY","null",1.6656,0,4,0.9812,"LULLABIES","NHS-R28",12
"ANY","nhs",2,NA,NA,NA,"LULLABIES","NHS-R28",12
"ANY","null",3.3282,0,7,0.0328,"LULLABIES","NHS-R30",114
"ANY","nhs",8,NA,NA,NA,"LULLABIES","NHS-R30",114
"ANY","null",5.0876,1,10,0.0680000000000001,"LOVE","NHS-R01",28
"ANY","nhs",2,NA,NA,NA,"LOVE","NHS-R01",28
"ANY","null",2.4048,0,6,0.5992,"LOVE","NHS-R02",51
"ANY","nhs",2,NA,NA,NA,"LOVE","NHS-R02",51
"ANY","null",0.8458,0,3,0.414,"LOVE","NHS-R04",19
"ANY","nhs",2,NA,NA,NA,"LOVE","NHS-R04",19
"ANY","null",4.3964,1,8,0.3408,"LOVE","NHS-R05",27
"ANY","nhs",3,NA,NA,NA,"LOVE","NHS-R05",27
"ANY","null",0.9554,0,3,0.7392,"LOVE","NHS-R06",23
"ANY","nhs",1,NA,NA,NA,"LOVE","NHS-R06",23
"ANY","null",0.2792,0,2,0,"LOVE","NHS-R07",11
"ANY","nhs",0,NA,NA,NA,"LOVE","NHS-R07",11
"ANY","null",10.8272,5,17,0.7916,"LOVE","NHS-R08",74
"ANY","nhs",12,NA,NA,NA,"LOVE","NHS-R08",74
"ANY","null",3.6782,1,8,0.3288,"LOVE","NHS-R09",60
"ANY","nhs",6,NA,NA,NA,"LOVE","NHS-R09",60
"ANY","null",1.997,0,5,0.8,"LOVE","NHS-R10",26
"ANY","nhs",2,NA,NA,NA,"LOVE","NHS-R10",26
"ANY","null",0.1624,0,1,0,"LOVE","NHS-R12",7
"ANY","nhs",0,NA,NA,NA,"LOVE","NHS-R12",7
"ANY","null",0.227,0,1,0,"LOVE","NHS-R15",6
"ANY","nhs",0,NA,NA,NA,"LOVE","NHS-R15",6
"ANY","null",1.3138,0,4,0.7548,"LOVE","NHS-R16",22
"ANY","nhs",2,NA,NA,NA,"LOVE","NHS-R16",22
"ANY","null",8.3086,3,14,0.1424,"LOVE","NHS-R17",14
"ANY","nhs",5,NA,NA,NA,"LOVE","NHS-R17",14
"ANY","null",0.6928,0,3,0.9848,"LOVE","NHS-R18",7
"ANY","nhs",1,NA,NA,NA,"LOVE","NHS-R18",7
"ANY","null",2.216,0,5,0.124,"LOVE","NHS-R19",23
"ANY","nhs",5,NA,NA,NA,"LOVE","NHS-R19",23
"ANY","null",0.937,0,3,0,"LOVE","NHS-R20",11
"ANY","nhs",0,NA,NA,NA,"LOVE","NHS-R20",11
"ANY","null",4.5476,1,9,0.1,"LOVE","NHS-R21",28
"ANY","nhs",2,NA,NA,NA,"LOVE","NHS-R21",28
"ANY","null",1.5238,0,4,0,"LOVE","NHS-R23",18
"ANY","nhs",9,NA,NA,NA,"LOVE","NHS-R23",18
"ANY","null",22.432,14,31,0.5144,"LOVE","NHS-R24",51
"ANY","nhs",20,NA,NA,NA,"LOVE","NHS-R24",51
"ANY","null",13.478,7,20,0.0272,"LOVE","NHS-R25",68
"ANY","nhs",22,NA,NA,NA,"LOVE","NHS-R25",68
"ANY","null",2.265,0,5,0,"LOVE","NHS-R26",25
"ANY","nhs",11,NA,NA,NA,"LOVE","NHS-R26",25
"ANY","null",3.709,1,7,0.1456,"LOVE","NHS-R27",18
"ANY","nhs",2,NA,NA,NA,"LOVE","NHS-R27",18
"ANY","null",2.61,0,6,0.1488,"LOVE","NHS-R28",12
"ANY","nhs",1,NA,NA,NA,"LOVE","NHS-R28",12
"ANY","null",23.241,16,32,0.3048,"LOVE","NHS-R30",114
"ANY","nhs",28,NA,NA,NA,"LOVE","NHS-R30",114
"ANY","null",5.2752,1,10,0.5584,"PLAY","NHS-R01",28
"ANY","nhs",7,NA,NA,NA,"PLAY","NHS-R01",28
"ANY","null",8.9192,4,15,0.2012,"PLAY","NHS-R02",51
"ANY","nhs",13,NA,NA,NA,"PLAY","NHS-R02",51
"ANY","null",0.565,0,2,0,"PLAY","NHS-R04",19
"ANY","nhs",0,NA,NA,NA,"PLAY","NHS-R04",19
"ANY","null",4.6594,1,9,0.9956,"PLAY","NHS-R05",27
"ANY","nhs",5,NA,NA,NA,"PLAY","NHS-R05",27
"ANY","null",8.6314,4,13,0.0216000000000001,"PLAY","NHS-R06",23
"ANY","nhs",4,NA,NA,NA,"PLAY","NHS-R06",23
"ANY","null",1.1628,0,4,0.6464,"PLAY","NHS-R07",11
"ANY","nhs",2,NA,NA,NA,"PLAY","NHS-R07",11
"ANY","null",5.3396,1,10,0.3348,"PLAY","NHS-R08",74
"ANY","nhs",8,NA,NA,NA,"PLAY","NHS-R08",74
"ANY","null",5.3818,1,10,0.0012,"PLAY","NHS-R09",60
"ANY","nhs",15,NA,NA,NA,"PLAY","NHS-R09",60
"ANY","null",1.303,0,4,0,"PLAY","NHS-R10",26
"ANY","nhs",0,NA,NA,NA,"PLAY","NHS-R10",26
"ANY","null",0.4466,0,2,0.224,"PLAY","NHS-R12",7
"ANY","nhs",2,NA,NA,NA,"PLAY","NHS-R12",7
"ANY","null",0.249,0,2,0,"PLAY","NHS-R15",6
