"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1147","relative pitch",3,"-7_+7",112,0.00414156455394513,18,0.796950770312202,54,0.00211971836041602
"1148","relative pitch",3,"+0_+9",147,0.00404820087749475,24,0.800998971189697,55,0.00207387588230824
"1149","relative pitch",3,"+9_+0",130,0.00392172992102452,16,0.804920701110721,56,0.00202982254149874
"1150","relative pitch",3,"+10_+0",120,0.00383609274717637,19,0.808756793857897,57,0.00198745846683983
"1151","relative pitch",3,"+10_-10",97,0.00383203384603061,21,0.812588827703928,58,0.00194669098157725
"1152","relative pitch",3,"+10_-3",130,0.00372770954374536,15,0.816316537247673,59,0.00190743397236643
"1153","relative pitch",3,"-3_-4",58,0.00368595044301668,18,0.82000248769069,60,0.00186960732318715
"1154","relative pitch",3,"+2_-4",141,0.00344186468213498,24,0.823444352372825,61,0.00183313640653066
"1155","relative pitch",3,"+0_-10",97,0.00343294320033509,15,0.82687729557316,62,0.0017979516252374
"1156","relative pitch",3,"+9_-9",101,0.00329280710729169,15,0.830170102680452,63,0.0017639879992222
"1157","relative pitch",3,"+2_+3",91,0.00328507406389681,18,0.833455176744349,64,0.0017311847920585
"1158","relative pitch",3,"-2_-5",60,0.00320830088175,16,0.836663477626099,65,0.0016994851730253
"1159","relative pitch",3,"-2_+7",85,0.00291891592251729,19,0.839582393548616,66,0.00166883591076438
"1160","relative pitch",3,"-2_+4",106,0.00291061152258409,19,0.8424930050712,67,0.00163918709516489
"1161","relative pitch",3,"+2_-5",61,0.00289699741381785,13,0.845390002485018,68,0.00161049188449875
"1162","relative pitch",3,"-4_+4",125,0.00288353099654831,23,0.848273533481566,69,0.00158270627518262
"1163","relative pitch",3,"-4_-3",74,0.0027436700158603,14,0.851017203497426,70,0.0015557888918485
"1164","relative pitch",3,"+3_-2",72,0.00273709396126344,18,0.85375429745869,71,0.00152970079567146
"1165","relative pitch",3,"+1_+2",114,0.0026890104893754,16,0.856443307948065,72,0.00150440530913617
"1166","relative pitch",3,"-5_+3",50,0.00261580939892581,15,0.859059117346991,73,0.00147986785562684
"1167","relative pitch",3,"+5_-3",68,0.00255961813288136,16,0.861618735479872,74,0.00145605581240401
"1168","relative pitch",3,"+2_-7",59,0.0025428821961263,10,0.864161617675999,75,0.00143293837568782
"1169","relative pitch",3,"-3_+7",37,0.00249984539420684,12,0.866661463070206,76,0.00141048643670515
"1170","relative pitch",3,"-4_+2",89,0.00242836879863051,19,0.869089831868836,77,0.00138867246767915
"1171","relative pitch",3,"-9_+0",71,0.00240497775481959,16,0.871494809623656,78,0.00136747041684691
"1172","relative pitch",3,"+0_-8",82,0.00235089928561269,7,0.873845708909268,79,0.00134685561168531
"1173","relative pitch",3,"+4_+3",30,0.00229224802007073,13,0.876137956929339,80,0.00132680466960896
"1174","relative pitch",3,"-4_+7",38,0.00228939092784698,11,0.878427347857186,81,0.00130729541547856
"1175","relative pitch",3,"-1_+3",80,0.00228891722715309,15,0.880716265084339,82,0.00128830680532359
"1176","relative pitch",3,"-8_+3",50,0.00213821418833638,7,0.882854479272676,83,0.00126981885574228
"1177","relative pitch",3,"-1_-4",84,0.00210989813807757,16,0.884964377410753,84,0.00125181257849388
