"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",2.8508,0,6,0.0888,"WORK","Middle America and the Caribbean",37
"ANY","nhs",1,NA,NA,NA,"WORK","Middle America and the Caribbean",37
"ANY","null",0.0576,0,1,0,"WORK","Middle East",6
"ANY","nhs",0,NA,NA,NA,"WORK","Middle East",6
"ANY","null",5.0658,1,10,0.0552,"WORK","North America",102
"ANY","nhs",10,NA,NA,NA,"WORK","North America",102
"ANY","null",7.6252,3,13,0.0024,"WORK","South America",88
"ANY","nhs",17,NA,NA,NA,"WORK","South America",88
"ANY","null",174.7646,156,194,0,"STORYTELLING","Africa",233
"ANY","nhs",269,NA,NA,NA,"STORYTELLING","Africa",233
"ANY","null",99.4134,84,116,0,"STORYTELLING","Asia",215
"ANY","nhs",138,NA,NA,NA,"STORYTELLING","Asia",215
"ANY","null",10.6804,5,17,0,"STORYTELLING","Europe",62
"ANY","nhs",49,NA,NA,NA,"STORYTELLING","Europe",62
"ANY","null",4.989,2,9,0.0264,"STORYTELLING","Middle America and the Caribbean",37
"ANY","nhs",10,NA,NA,NA,"STORYTELLING","Middle America and the Caribbean",37
"ANY","null",0.7158,0,3,0.0636,"STORYTELLING","Middle East",6
"ANY","nhs",3,NA,NA,NA,"STORYTELLING","Middle East",6
"ANY","null",50.2846,39,62,0.348,"STORYTELLING","North America",102
"ANY","nhs",45,NA,NA,NA,"STORYTELLING","North America",102
"ANY","null",166.6656,159,175,0.0668,"STORYTELLING","South America",88
"ANY","nhs",160,NA,NA,NA,"STORYTELLING","South America",88
"ANY","null",110.6908,93,129,4e-04,"PRAISE","Africa",233
"ANY","nhs",142,NA,NA,NA,"PRAISE","Africa",233
"ANY","null",54.2892,41,69,0.2488,"PRAISE","Asia",215
"ANY","nhs",63,NA,NA,NA,"PRAISE","Asia",215
"ANY","null",5.4186,2,10,0.9352,"PRAISE","Europe",62
"ANY","nhs",6,NA,NA,NA,"PRAISE","Europe",62
"ANY","null",11.95,6,19,0.9136,"PRAISE","Middle America and the Caribbean",37
"ANY","nhs",12,NA,NA,NA,"PRAISE","Middle America and the Caribbean",37
"ANY","null",1.0896,0,3,0.6316,"PRAISE","Middle East",6
"ANY","nhs",1,NA,NA,NA,"PRAISE","Middle East",6
"ANY","null",73.597,59,89,0.3728,"PRAISE","North America",102
"ANY","nhs",67,NA,NA,NA,"PRAISE","North America",102
"ANY","null",36.1796,26,47,0.6688,"PRAISE","South America",88
"ANY","nhs",39,NA,NA,NA,"PRAISE","South America",88
"ANY","null",33.8104,24,44,0,"GREETING","Africa",233
"ANY","nhs",60,NA,NA,NA,"GREETING","Africa",233
"ANY","null",33.5908,23,45,0,"GREETING","Asia",215
"ANY","nhs",64,NA,NA,NA,"GREETING","Asia",215
"ANY","null",7.6762,3,13,0,"GREETING","Europe",62
"ANY","nhs",34,NA,NA,NA,"GREETING","Europe",62
"ANY","null",4.6564,1,9,0.004,"GREETING","Middle America and the Caribbean",37
"ANY","nhs",12,NA,NA,NA,"GREETING","Middle America and the Caribbean",37
"ANY","null",0.3594,0,2,0.6124,"GREETING","Middle East",6
"ANY","nhs",1,NA,NA,NA,"GREETING","Middle East",6
"ANY","null",29.8846,21,40,0,"GREETING","North America",102
"ANY","nhs",67,NA,NA,NA,"GREETING","North America",102
"ANY","null",22.62,14,32,0,"GREETING","South America",88
"ANY","nhs",52,NA,NA,NA,"GREETING","South America",88
"ANY","null",14.1978,8,22,0.6836,"WAR","Africa",233
"ANY","nhs",16,NA,NA,NA,"WAR","Africa",233
"ANY","null",18.9186,11,27,0.5124,"WAR","Asia",215
"ANY","nhs",22,NA,NA,NA,"WAR","Asia",215
"ANY","null",3.1876,0,7,0.1472,"WAR","Europe",62
"ANY","nhs",6,NA,NA,NA,"WAR","Europe",62
"ANY","null",0.4,0,2,0,"WAR","Middle America and the Caribbean",37
"ANY","nhs",0,NA,NA,NA,"WAR","Middle America and the Caribbean",37
"ANY","null",0.2472,0,1,0,"WAR","Middle East",6
"ANY","nhs",0,NA,NA,NA,"WAR","Middle East",6
"ANY","null",159.1776,138,182,0.0751999999999999,"WAR","North America",102
"ANY","nhs",140,NA,NA,NA,"WAR","North America",102
"ANY","null",11.3766,6,18,0.8068,"WAR","South America",88
"ANY","nhs",11,NA,NA,NA,"WAR","South America",88
"ANY","null",48.5166,36,61,0,"MARRIAGE","Africa",233
"ANY","nhs",133,NA,NA,NA,"MARRIAGE","Africa",233
"ANY","null",82.3366,67,98,0,"MARRIAGE","Asia",215
"ANY","nhs",126,NA,NA,NA,"MARRIAGE","Asia",215
"ANY","null",7.5666,3,13,0,"MARRIAGE","Europe",62
"ANY","nhs",27,NA,NA,NA,"MARRIAGE","Europe",62
