"q","year","est","cilo","cihi"
1,1977,0.00544916028330266,-0.0347324733622917,0.0453808888499627
1,1978,0.00550748285235712,-0.0364797446113001,0.0471468760952771
1,1979,0.00555555555125593,-0.0381492626919496,0.0489198607857415
1,1980,0.00559337837999911,-0.0398932979495707,0.0507274988315689
1,1981,0.00562095133858664,-0.0416448932417938,0.0526015665209392
1,1982,0.00563827442701853,-0.0434614587987662,0.0544350776791007
1,1983,0.00564534764529478,-0.0453045475322016,0.0562241936214928
1,1984,0.00564217099341539,-0.0471527888087352,0.0579644971582134
1,1985,0.00562874447138036,-0.0490816040966277,0.0598920115889827
1,1986,0.00560506807918969,-0.0510703261115143,0.0617674505715298
1,1987,0.00557114181684337,-0.0531127154826765,0.0637162939966526
1,1988,0.00552696568434142,-0.0551465637022095,0.065709116111357
1,1989,0.00547253968168382,-0.0571097663183001,0.0675096607684874
1,1990,0.00540786380887058,-0.0591003401639068,0.0695569090120176
1,1991,0.0053329380659017,-0.0612446149994734,0.0714348178797398
1,1992,0.00524776245277719,-0.0633201793246303,0.0733468878519752
1,1993,0.00515233696949702,-0.0654850284402492,0.0752975678122978
1,1994,0.00504666161606122,-0.0676125882286502,0.0772503104885044
1,1995,0.00493073639246978,-0.0698747820072485,0.0791875216520163
1,1996,0.0048045612987227,-0.0721153922259306,0.0811154335984319
1,1997,0.00466813633481997,-0.0743364021303166,0.0830774176990554
1,1998,0.00452146150076161,-0.0766312098106749,0.0851108310828442
1,1999,0.0043645367965476,-0.0791146150851713,0.0870832765315368
1,2000,0.00419736222217795,-0.0814930637721256,0.0891100733090952
2,1900,-0.0280031864701457,-0.0881144792370403,0.0295959037572921
2,1901,-0.0288327797161582,-0.0876921288551606,0.0275579444698806
2,1902,-0.0296056522692966,-0.0873338259851786,0.0255377964102756
2,1903,-0.0303218041295609,-0.0869102846005814,0.0237603552063219
2,1904,-0.0309812352969512,-0.0863076982146433,0.0219080155620114
2,1905,-0.0315839457714673,-0.0857291263210158,0.0201574731363304
2,1906,-0.0321299355531093,-0.0851606480678515,0.0184202888693053
2,1907,-0.0326192046418772,-0.0845688624536469,0.0168728537984651
2,1908,-0.033051753037771,-0.0838832713106074,0.0153845140316824
2,1909,-0.0334275807407907,-0.0830512682045213,0.0139699760566706
2,1910,-0.0337466877509364,-0.0822321521739177,0.0125281926392053
2,1911,-0.0340090740682079,-0.081312718904975,0.0112601921091506
2,1912,-0.0342147396926053,-0.0802680005238,0.00998067263470029
2,1913,-0.0343636846241286,-0.0791983292871082,0.00874872265895081
2,1914,-0.0344559088627779,-0.0781274674728111,0.00756252911341564
2,1915,-0.034491412408553,-0.0770760673095731,0.00647122231933792
2,1916,-0.034470195261454,-0.0758352544342775,0.00539263264120856
2,1917,-0.0343922574214809,-0.0746249553404827,0.00440083575434747
2,1918,-0.0342575988886338,-0.0733113502670606,0.00347992282317007
2,1919,-0.0340662196629125,-0.0719998083061748,0.00258972911862624
2,1920,-0.0338181197443171,-0.0706534631729462,0.00165754807373024
2,1921,-0.0335132991328477,-0.0691966235969209,0.000887809073166236
2,1922,-0.0331517578285041,-0.0677264778736896,0.000195788523985387
2,1923,-0.0327334958312864,-0.066196300996734,-0.000508989038168733
2,1924,-0.0322585131411947,-0.0644695900546517,-0.00108898102170381
2,1925,-0.0317268097582288,-0.0627297397021545,-0.00160199655983278
2,1926,-0.0311383856823888,-0.060970583736353,-0.00211440643929397
2,1927,-0.0304932409136748,-0.0591819340146611,-0.00251200386553569
2,1928,-0.0297913754520866,-0.0573111649317754,-0.00292541695780441
2,1929,-0.0290327892976243,-0.0553523002903967,-0.00328149498764336
2,1930,-0.028217482450288,-0.0533686918568735,-0.00364291355023731
2,1931,-0.0273454549100775,-0.0513426991240008,-0.00390612866758442
2,1932,-0.026416706676993,-0.0492715763592539,-0.00410504766800315
2,1933,-0.0254312377510343,-0.0470705348383453,-0.0042321646896164
2,1934,-0.0243890481322016,-0.0448497698844194,-0.00435951450527485
2,1935,-0.0232901378204947,-0.0425674738544351,-0.00439653974929558
2,1936,-0.0221345068159137,-0.040142089575515,-0.00442358166586112
2,1937,-0.0209221551184587,-0.0377299808167109,-0.00437812714420027
2,1938,-0.0196530827281295,-0.0352476158371299,-0.00429685746587407
2,1939,-0.0183272896449263,-0.0326880312227702,-0.00417465813212896
