"dim","station","stationmean.est","stationmean.cilo","stationmean.cihi","stationmean.pval","country_code"
"q.1","AQC00914424",0.56978975785999,-0.391770812833905,1.55884385278707,0.2474,"AQ"
"q.2","AQC00914424",-2.18888094265773,-3.16206954796096,-1.29252100200627,0,"AQ"
"q.3","AQC00914424",0.0542819195049605,-2.09997749031763,2.00607108936835,0.9436,"AQ"
"q.1","AQC00914902",0.688189180613575,0.057706616294243,1.31191353354824,0.0298,"AQ"
"q.2","AQC00914902",-1.4044228488737,-2.64247427962055,-0.195472841349706,0.0148,"AQ"
"q.3","AQC00914902",0.0214971930213982,-1.28777802392044,1.27166857115051,0.957,"AQ"
"q.1","AQW00061705",1.13622300610473,0.947161616234535,1.2805232151807,0,"AQ"
"q.2","AQW00061705",-1.63650141075816,-1.89512837706542,-1.30570662719507,0,"AQ"
"q.3","AQW00061705",-0.418600087832818,-0.763634203511582,-0.103935368547063,0.002,"AQ"
"q.1","BDM00078016",0.694791590912717,0.429105545884781,0.951074102436301,0,"BD"
"q.2","BDM00078016",-0.773660422792778,-1.02743260349834,-0.537610033554337,0,"BD"
"q.3","BDM00078016",0.0460897589609208,-0.319480820544954,0.497810579222905,0.869,"BD"
"q.1","BDW00013602",0.733292655402808,0.551747618948752,0.930291609067867,0,"BD"
"q.2","BDW00013602",-0.783353594895571,-1.00544246409525,-0.53783124911948,0,"BD"
"q.3","BDW00013602",0.25031436327327,-0.255170480022276,0.773806739430231,0.2704,"BD"
"q.1","BF000078073",0.919557502172504,0.702489011813658,1.1212140137126,0,"BF"
"q.2","BF000078073",-0.274289295324064,-0.663251549804143,0.197433319020931,0.1872,"BF"
"q.3","BF000078073",-0.180167809192608,-0.663020349049263,0.330165932149595,0.4462,"BF"
"q.1","BF1EX000007",0.13192454457543,-1.35900797558789,1.53999128269986,0.8342,"BF"
"q.2","BF1EX000007",0.444803530880512,-0.530705493000356,1.41296115235214,0.3962,"BF"
"q.3","BF1EX000007",-0.00726520811842143,-2.40915056689125,2.2457242523719,0.9702,"BF"
"q.1","BFW00012712",0.842970275019528,0.445194028935834,1.27129069772965,0,"BF"
"q.2","BFW00012712",-0.553862681849457,-1.24737852523447,0.11763622248891,0.1336,"BF"
"q.3","BFW00012712",-0.138444507118268,-0.865911827746893,0.761140597314586,0.6728,"BF"
"q.1","BFW00012713",0.931892266134099,0.259671198005691,1.60371338262795,0.00800000000000001,"BF"
"q.2","BFW00012713",-0.0308672433248653,-0.648640535973288,0.512821078716949,0.9626,"BF"
"q.3","BFW00012713",-0.171890742142056,-1.29042785575247,0.928561069610519,0.7678,"BF"
"q.1","BFW00012714",0.591662453127938,0.0810795834551206,1.20741331127793,0.0184,"BF"
"q.2","BFW00012714",0.587690049920175,0.122522497665489,1.02281964437703,0.0102,"BF"
"q.3","BFW00012714",0.420502638768688,-0.478277375018433,1.25689095630204,0.3368,"BF"
"q.1","BFW00012715",0.709759910861563,-0.503339262896752,2.00875432404274,0.2666,"BF"
"q.2","BFW00012715",0.017456567849573,-2.01876029046394,1.94562572132096,0.9492,"BF"
"q.3","BFW00012715",0.0666698653320939,-2.15455244529748,2.17570786348279,0.9306,"BF"
"q.1","BFW00012716",0.874382893494491,-0.228539817110995,1.94070548079115,0.124,"BF"
"q.2","BFW00012716",0.142326525582372,-0.778707740214576,1.08097824067592,0.7788,"BF"
"q.3","BFW00012716",-0.00800905823009614,-1.8242709418287,1.87800502390097,0.9836,"BF"
"q.1","BHM00078583",0.619643101525419,-0.964196405858346,2.12589096828904,0.4276,"BH"
"q.2","BHM00078583",-0.796361396521497,-1.71111086374688,0.14843227125737,0.0936,"BH"
"q.3","BHM00078583",-0.423723269593893,-2.46469507288328,1.53021139759303,0.6692,"BH"
