"country_code","station","date","score.1","score.2","score.3"
"ZA","ZA000067667",1981,0.561778562986083,0.395778477813664,-0.324288060260906
"LH","LH000026600",1989,-0.187638508909281,-0.315569302096255,0.00858836051879342
"TS","TSE00147768",1958,0.547378170142714,0.103067094966394,0.292756835223244
"TU","TU000017240",1953,-0.252973187220898,0.213501382058456,0.322753710302038
"IO","IOW00070701",1985,1.14123054004546,-1.2010413830251,-0.322417790666915
"ZI","ZI000067865",1958,0.649696043268517,0.2060542326477,0.133505205317149
"PS","PSC00914712",2003,0.760034356686,-1.2347723364052,-0.10224488250709
"RP","RP000098851",1981,1.2024588238265,0.0174489524641182,-0.378449862267974
"TU","TUM00017234",1999,0.695235108817603,0.48721249585554,0.00284696215938759
"TS","TSE00147767",1917,0.346399883337907,0.0202763939966507,0.364704474419619
"RP","RPM00098325",2004,1.86847126768252,-0.587674725123741,-1.16908571197124
"BD","BDM00078016",1977,0.808719249625703,-0.882259622926968,0.0328860840285403
"CQ","CQC00914080",2002,1.00908142683908,-1.76515530516981,-0.131479507017488
"IR","IRM00040845",2014,0.75560523618609,1.30937104283228,-0.241553852601933
"RP","RP000098430",1964,1.24361343735657,-1.01869186128388,-0.918488078792723
"LH","LH000026518",1977,-0.466898911226363,-0.495436619639513,0.166481794481691
"RP","RP000098430",1980,1.22913659809627,-0.676045754719013,-0.748249724831789
"LG","LG000026403",1982,-0.357578263327952,0.298261341179744,0.243025467804243
"IR","IR000040841",1978,0.0817522165950237,1.08064082057041,0.486831088102029
"EI","EI000003969",2016,-0.383930373765214,-0.36929375150251,1.02633177217073
"ZI","ZI000067765",1954,0.626882278450788,0.162916681655576,0.130077805561767
"LH","LH000026531",1968,-0.39779912603705,-0.174749118448357,0.13929260368455
"SZ","SZ000009480",1985,-0.298151799230826,-0.23061242016621,0.503191820894246
"RP","RP000986530",2014,1.19519718207638,-0.373022122550358,-0.401494062044497
"SZ","SZ000008440",1988,-0.168743915769087,-0.0479167098812366,0.397134436703686
"LU","LUE00100945",1956,-0.713802015027859,-0.311875819018952,0.389334373071
"ZI","ZI000067983",1983,0.665139063720654,0.17525454884628,-0.0521567553189205
"LH","LH000026728",1997,-1.1523737623412,0.216614899143147,-0.406261886088811
"CQ","CQC00914874",2009,0.115820895045338,-1.78903895821201,0.845622604138453
"LU","LUE00100944",1989,-0.764519708286351,0.144793533709181,0.406664934896802
"ZI","ZI000067779",1974,0.700238637760581,0.113484422812742,0.00828448551521172
"LH","LH000026730",1928,-1.32277702578014,0.502578617210379,-1.33899847387501
"SU","SU000062762",1964,1.12371018955787,0.794551354202838,-0.307019110422119
"KE","KE000063624",1997,1.31073898095939,0.315825568233458,-0.676321656939256
"NC","NCW00082608",1994,0.540307840897537,-0.0589339523169036,-0.0857963610296126
"ZI","ZI000067969",1967,0.708497972451128,0.515728031036657,-0.188872495475783
"EI","EIE00107808",1961,-1.12225561848841,-0.865688145579075,0.553423849193063
"MO","MOE00147752",1957,0.384664564279148,0.551939871987104,0.89384939458822
"RP","RPW00041224",1947,1.28911555869351,-0.759482118679583,-0.709570565013883
"TU","TU000017240",1963,-0.0631398649937821,0.281004591388305,0.757581309494041
"TU","TUM00017022",2011,-0.137381208385201,0.0402512717422493,0.0318210187136382
"LU","LUE00100953",1982,-0.792431195558231,-0.195507135526276,0.431903194191321
