"id_nhs","indx","song_function","score_1","score_2","score_3","highlighted"
"NHS-C108",34,"other",0.5400434323591671,0.697956806857841,-0.00173000027180459,"false"
"NHS-C108",35,"other",0.532059149921358,0.703433320422263,0.0192500292729496,"false"
"NHS-C108",36,"dance",0.833604141578391,0.16716157272519902,-0.7379714095237242,"false"
"NHS-C108",37,"dance",-0.15126106033568398,-0.469735567127325,1.2894210212672,"false"
"NHS-C108",38,"dance",0.49688789662019794,-0.417215337827115,0.34017229264212495,"false"
"NHS-C108",39,"dance",0.68826709374293,0.392317352710682,-0.978842712427248,"false"
"NHS-C108",40,"lullaby",-0.129444214534783,-0.694906316888575,0.6917744211727309,"false"
"NHS-C108",41,"other",0.30870329725205103,-1.08195271359566,0.9829591135276892,"false"
"NHS-C108",42,"dance",-1.1930002112986002,-1.53098212985883,-0.372088411427605,"false"
"NHS-C108",43,"healing",-0.482389579976039,-1.08319317475878,0.30193091829755897,"false"
"NHS-C108",44,"other",-0.27102894413295103,0.111175898186426,-0.247055136845029,"false"
"NHS-C108",45,"lullaby",0.16796533487594298,-0.526457801699062,0.795645320446919,"false"
"NHS-C108",46,"lullaby",0.171574848792646,-0.534032770700784,0.794786344218899,"false"
"NHS-C108",47,"dance",0.1138016350151,-0.22878835871261302,1.04333292016154,"false"
"NHS-C108",48,"other",0.103956514995001,-0.242148754563765,1.04020992857485,"false"
"NHS-C108",49,"dance",0.11488129335864801,-0.223032649345631,1.0171859180485,"false"
"NHS-C108",50,"dance",0.12456495505936802,-0.235950565608374,1.0571999935573102,"false"
"NHS-C108",51,"other",0.10510308329447901,-0.22023629988610802,1.0458740338455799,"false"
"NHS-C108",52,"dance",0.11872204837704599,-0.23129994636687196,1.01757014311542,"false"
"NHS-C108",53,"dance",0.11711847294929,-0.234419155324689,1.03405441108889,"false"
"NHS-C108",54,"dance",0.133108784378935,-0.20619505969726,1.0415623115388801,"false"
"NHS-C108",55,"dance",0.12443647600344698,-0.269674161129715,1.0455261061949,"false"
"NHS-C108",56,"dance",0.112571596881494,-0.228112420128719,1.0167863057687199,"false"
"NHS-C108",57,"dance",0.11091239905057301,-0.23073176407259502,1.03020309331599,"false"
"NHS-C108",58,"dance",0.107227304409485,-0.23040667565682998,1.06084703414729,"false"
"NHS-C108",59,"dance",0.0985707073376502,-0.24103469591801896,1.0499592239220201,"false"
"NHS-C108",60,"dance",0.122444898247882,-0.231299875908708,1.02825999380951,"false"
"NHS-C108",61,"other",0.39802906320148995,-0.200022682124113,0.655400135963787,"false"
"NHS-C108",62,"other",-0.30158546025684996,-0.8690811646914491,1.05885145806929,"false"
"NHS-C108",63,"other",-0.0007559265749276361,-0.6014046499178051,1.10199536597626,"false"
"NHS-C108",64,"other",-0.0104186878267518,-0.578964564406322,1.1202968593804299,"false"
"NHS-C108",65,"other",-0.0197523622293393,-0.5722325125499039,1.09129599285314,"false"
"NHS-C108",66,"other",-0.021753913875738,-0.655509114144342,1.12414499970235,"false"
"NHS-C108",67,"other",-0.0039181127086912,-0.6551137848447021,1.09745502279468,"false"
"NHS-C108",68,"other",-0.114929002806605,-0.78111968788913,1.15583292795101,"false"
"NHS-C108",69,"healing",-0.0787719468527822,-0.7051934651594479,1.13220490864597,"false"
"NHS-C108",70,"other",-0.0216081523849949,-0.666467422507499,1.1145883511472199,"false"
"NHS-C108",71,"dance",-0.0983949191177462,-0.737161773083162,1.10875911702022,"false"
