"song","tempo_adj","macrometer_ord","syncopate","accent","dynamics","ritard_accel","micrometer_duple","micrometer_triple","macrometer_duple","macrometer_triple","variation_rhythmic","variation_melodic","ornament","vibrato","tension","scale_quality_minor"
94,128.016129032258,2.64516129032258,0.403225806451613,0.532258064516129,0.67741935483871,0.129032258064516,0.645161290322581,0.129032258064516,0.161290322580645,0.129032258064516,0.741935483870968,0.612903225806452,0.709677419354839,0.32258064516129,2.03225806451613,0.157894736842105
95,69,2.87096774193548,0.0967741935483871,0.129032258064516,0.32258064516129,0.0967741935483871,0.645161290322581,0.0645161290322581,0.387096774193548,0,0.419354838709677,0.483870967741935,0.225806451612903,0.580645161290323,1.19354838709677,0.875
96,107.274161258065,3,0.483870967741935,0.838709677419355,0.483870967741935,0.161290322580645,0.774193548387097,0.0967741935483871,0.354838709677419,0.161290322580645,0.387096774193548,0.258064516129032,0.451612903225806,0,2.19354838709677,0.344827586206897
97,78.7956709677419,4.54838709677419,0.258064516129032,0.387096774193548,0.0967741935483871,0.032258064516129,0.967741935483871,0.0645161290322581,0.903225806451613,0.0967741935483871,0.387096774193548,0.290322580645161,0.903225806451613,0.967741935483871,2.35483870967742,0.0344827586206897
98,107.064516129032,5.74193548387097,0.467741935483871,0.241935483870968,0.258064516129032,0.032258064516129,0.709677419354839,0.483870967741935,0.870967741935484,0.0967741935483871,0.290322580645161,0.516129032258065,0.387096774193548,0,2.03225806451613,0.2
99,140.31175483871,4.90322580645161,0.548387096774194,0.306451612903226,0.032258064516129,0.0645161290322581,0.258064516129032,0.741935483870968,0.903225806451613,0.0645161290322581,0.32258064516129,0.290322580645161,0.0967741935483871,0,1.80645161290323,0.379310344827586
100,124.408567741935,4.70967741935484,0.370967741935484,0.403225806451613,0.225806451612903,0.0645161290322581,0.32258064516129,0.67741935483871,0.870967741935484,0.161290322580645,0.387096774193548,0.387096774193548,0.161290322580645,0,1.93548387096774,0.148148148148148
101,72.5806,5.45161290322581,0.274193548387097,0.532258064516129,0.419354838709677,0.67741935483871,1,0,0.967741935483871,0,0,0.129032258064516,0.193548387096774,0.709677419354839,1.90322580645161,0.0454545454545455
102,81.1774193548387,3.38709677419355,0.306451612903226,0.548387096774194,0.806451612903226,0.903225806451613,1,0.032258064516129,0.580645161290323,0.032258064516129,0.741935483870968,0.709677419354839,0.838709677419355,0.741935483870968,2.25806451612903,0.210526315789474
103,190.018748387097,5.54838709677419,0.419354838709677,0.564516129032258,0.580645161290323,0.67741935483871,0.870967741935484,0.67741935483871,0.935483870967742,0.032258064516129,0.161290322580645,0.0645161290322581,0.0645161290322581,0.032258064516129,2.67741935483871,0
104,155.656019129032,2.45161290322581,0.548387096774194,0.67741935483871,0.451612903225806,0.129032258064516,0.516129032258065,0.645161290322581,0.0967741935483871,0.0967741935483871,0.67741935483871,0.354838709677419,0.645161290322581,0.580645161290323,1.90322580645161,0.44
105,70.6048387096774,4.03225806451613,0.451612903225806,0.241935483870968,0.161290322580645,0.032258064516129,0.903225806451613,0.0967741935483871,0.709677419354839,0.129032258064516,0.548387096774194,0.258064516129032,0.612903225806452,0.258064516129032,1.58064516129032,0.409090909090909
