song,annotator,annotator_degree,annotator_field,tonal,tonal_pitch1,tonal_pitch2,scale,scale_type1,scale_type2,scale_quality,tempo_raw,tempo_adj,tempo_med,tempo_tap,tempo_val,micrometer,macrometer_text,macrometer_ord,macrometer_none,macrometer_2,macrometer_3,macrometer_4,macrometer_5,macrometer_6,macrometer_7,macrometer_8,macrometer_9,macrometer_10,macrometer_11,macrometer_12,macrometer_13,macrometer_14,macrometer_15,macrometer_other,repeat_small,repeat_large,repeat_vary,singers_n,singers_sex,leader,unison,polyphony,call_response,contour,ornament,vibrato,dynamics,ritard,words,infant,tension,tension_melody,tension_harmony,tension_rhythm,tension_motif,tension_accent,tension_dynamic,tension_voices,tension_inst,syncopate,accent,ending_stop,ending_finalnote,ending_long,ending_ritard,ending_accel,ending_loud,ending_quiet,ending_follow,ending_unknown,ending_other,clap,stomp,instru,instru_idio,instru_membrano,instru_aero,instru_chordo,instru_rhythm1,instru_rhythm2,instru_pitched,instru_drone,instru_harmony,instru_bassline,instru_cpt,instru_melody,transcr_qual,transcr_qualo,transcr_diff,transcr_diffo,transcr_text,like,guess_genre,guess_loc,comment_song
2,EJS,BM,.,1,C,Single point of stability,1,Undefined,Single pitch collection,Unknown,60,60,60,Quarter,.25,Duple,Totally clear macrometer,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Identical,7 or more,Both sexes,Female leader(s),1,1,1,Up-down,1,1,No dynamics,No ritard or accel,Pitched syllables,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,3,Healing,South America,"99:99 Interesting  different dissonances at the end of each phrase, intentional?"
2,ESL,BM,Music Theory,1,C,Single point of stability,1,Mixolydian,Single pitch collection,Major,60,60,60,Quarter,.25,Triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,Rhythmic and melodic variation,6,Male,Male leader(s),1,1,0,Descending,1,0,No dynamics,No ritard or accel,Words present,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,1,Healing,North America,
2,HJK,PhD,Ethnomusicology,1,C,Single point of stability,1,Generic minor,Single pitch collection,Minor,48,96,96,Half,.5,Triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,Identical,5,Both sexes,Female leader(s),1,0,0,Descending,0,0,No dynamics,No ritard or accel,Words present,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of inaccurate,4,Very difficult,3,,6,Healing,Africa,
2,HWY,.,.,1,C,Single point of stability,1,Undefined,Single pitch collection,Unknown,50,50,50,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic and melodic variation,5,Male,Male leader(s),0,1,0,Descending,0,0,No dynamics,No ritard or accel,Words present,0,1,0,0,0,0,0,0,1,0,0,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,5,Healing,Middle America,99:99 a clear overtone at the end of each phrase
2,IST,MM,.,1,C,Single point of stability,1,Generic major,Single pitch collection,Major,97,97,97,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,5,Male,Male leader(s),1,0,1,Descending,0,0,No dynamics,No ritard or accel,Words present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of inaccurate,4,Extremely difficult,2,,4,Healing,Middle America,
2,JAB,.,.,1,C,Single point of stability,0,.,.,Unknown,42,84,84,Half,.5,Triple,Totally clear macrometer,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,5,Male,Male leader(s),1,1,0,Descending,0,1,Multiple dynamics,No ritard or accel,Words present,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,,1,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,4,Love,South America,
2,JAY,.,.,1,C,Single point of stability,0,.,.,Unknown,70,70,70,Quarter,.25,Duple,Totally clear macrometer,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,Identical,6,Both sexes,Male leader(s),1,0,0,Up-down,0,0,No dynamics,No ritard or accel,Words present,0,1,1,0,0,1,1,0,0,0,0,.5,0,1,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,1,Healing,Africa,
2,JKP,PhD,Music Theory,1,C,E,0,.,.,Unknown,59,59,59,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,4,Both sexes,Female leader(s),1,1,1,Descending,0,1,No dynamics,No ritard or accel,Words present,0,1,1,0,1,1,1,0,1,0,.5,1,0,1,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Very accurate,6,Extremely difficult,2,,1,Healing,North America,
2,JMB,PhD,Ethnomusicology,1,C,F,0,.,.,Unknown,105,105,105,Quarter,.25,Both duple and triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Melodic variation,6,Male,Male leader(s),1,0,1,Descending,1,0,Gets louder,Speeds up and slows down,Pitched syllables,1,1,0,0,0,0,1,1,1,0,0,.5,0,1,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of accurate,5,Extremely difficult,2,"This would be very difficult to transcribe because there are notes sung that are outside of the diatonic scale (and thus sound ""out of tune"" to the Western ear).",1,Healing,Asia,
2,LCC,BM,.,1,C,Single point of stability,1,Generic major,Generic minor,Major,62,62,62,Quarter,.25,Duple,Minor deviations from macrometer,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,6,Male,Male leader(s),1,1,1,Descending,0,0,No dynamics,No ritard or accel,Pitched syllables,0,1,1,1,0,1,1,0,1,0,.5,.5,0,0,1,0,0,1,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Very accurate,6,Sort of easy,5,,2,Healing,Oceania,
