song,duration,number_of_distinct_voices,mean_interval,modal_interval,distance_btwn_modal_intervals,modal_interval_prevalence,rel_strength_modal_intervals,common_intervals_count,amount_of_arpeggiation,stepwise_motion,melodic_thirds,direction_of_motion,duration_of_melodic_arcs,size_of_melodic_arcs,modal_pitch_prev,modal_pitchcls_prev,rel_strength_top_pitches,rel_strength_top_pitchcls,interval_btwn_strongest_pitches,interval_btwn_strongest_pitchcls,number_of_common_pitches,pitch_variety,pitch_class_variety,range,note_density,average_note_duration,maximum_note_duration,minimum_note_duration,variability_of_note_duration,initial_tempo,quality,tonal_certainty_metrics_0,tonal_certainty_metrics_1,tonal_certainty_metrics_2,tonal_certainty_metrics_3,tonal_certainty_metrics_4,tonal_certainty_metrics_5,tonal_certainty_metrics_6,tonal_certainty_metrics_7,tonal_certainty_metrics_8,tonal_certainty_metrics_9,tonal_certainty_metrics_10,tonal_certainty_metrics_11,tonal_certainty_metrics_12,tonal_certainty_metrics_13,tonal_certainty_metrics_14,tonal_certainty_metrics_15,tonal_certainty_metrics_16,tonal_certainty_metrics_17,tonal_certainty_metrics_18,tonal_certainty_metrics_19,tonal_certainty_metrics_20,tonal_certainty_metrics_21,tonal_certainty_metrics_22,tonal_certainty_metrics_23,class,key1,key2,key3,key4,key5,melodic_interval_histogram_0,melodic_interval_histogram_1,melodic_interval_histogram_2,melodic_interval_histogram_3,melodic_interval_histogram_4,melodic_interval_histogram_5,melodic_interval_histogram_6,melodic_interval_histogram_7,melodic_interval_histogram_8,melodic_interval_histogram_9,melodic_interval_histogram_10,melodic_interval_histogram_11,melodic_interval_histogram_12,melodic_interval_histogram_13,melodic_interval_histogram_14,melodic_interval_histogram_16,melodic_interval_histogram_17
38,144.733,1,2.0163043,0,2,.27717391,.92156863,4,.67391306,.31521741,.38586956,.39849624,2.4181819,6.6909089,.39712918,.39712918,.61445785,.61445785,4,4,3,7,7,10,1.4440384,.64425927,2.2973492,.19144577,.50956863,78.351173,0,.8507269,.74105763,.54857916,.41253853,.39189687,.33749136,.17115267,.087167732,.032160971,.020888008,.018331496,.017093047,-.017772228,-.15385149,-.16768812,-.17408876,-.18355626,-.21835077,-.36562294,-.38050792,-.4018918,-.47635365,-.53299159,-.55640888,,4,13,20,16,11,.27717391,.059782609,.25543478,.23913044,.14673913,0,.010869565,.010869565,0,0,0,0,0,0,0,0,0
39,80.899002,1,2.1809211,0,2,.27631578,.91666669,4,.47039473,.33552632,.18421052,.37727273,1.9298246,5.7894735,.44761905,.44761905,.4609929,.4609929,3,3,4,6,6,10,3.893744,.25021821,1.84912,.11557,.15376803,129.79147,0,.763699,.72466141,.55433226,.46413252,.38289571,.19344762,.14045928,.11077742,.10835211,.089289583,.088742204,.065092586,.0093066273,-.15093532,-.20862626,-.23582141,-.27088091,-.29040617,-.35385886,-.36765781,-.40046567,-.45674288,-.45863751,-.5011555,,3,15,12,8,10,.27631578,.082236841,.25328946,.18421052,0,.19407895,0,.0098684207,0,0,0,0,0,0,0,0,0
40,125.424,2,1.9750831,2,2,.3754153,.8761062,4,.50166112,.3754153,.16943522,.48514852,1.3741497,4.0170069,.33084947,.33084947,.61711711,.61711711,2,2,5,7,6,12,5.3498535,.30254227,.96977317,.080814436,.19007562,92.805206,1,.75321281,.74001551,.50680131,.40735781,.40120712,.3796795,.35404518,.32323411,.2819837,.1063048,.0082516074,-.040230468,-.088612147,-.092181958,-.14089023,-.14177839,-.23308596,-.24120234,-.44898024,-.50671107,-.52598196,-.57590216,-.60001272,-.62652385,,12,3,10,8,17,.32890365,0,.3754153,.091362126,.078073092,.12292359,0,.0033222591,0,0,0,0,0,0,0,0,0
41,93.079002,2,1.1474359,2,2,.41666666,.96923077,3,.41987181,.57051283,0,.3548387,1.9375,3.6354167,.24418604,.24418604,.78571427,.85714287,5,5,5,11,9,14,3.6957853,.47289291,2.0456922,.085237183,.35869747,117.31969,0,.71976984,.67378485,.60596335,.5940271,.47265461,.41592711,.34858108,.33631265,.23133551,.21632972,.15692686,.0071680527,-.091910489,-.11132202,-.12606075,-.27192298,-.42877415,-.47213095,-.47841695,-.49745199,-.51043409,-.58959073,-.59749842,-.60326719,,2,21,7,9,14,.40384614,.15384616,.41666666,0,0,.009615385,0,.016025642,0,0,0,0,0,0,0,0,0
42,161.96201,2,5.4741936,4,3,.40967742,.86220473,3,.91612905,0,.50645161,.51111114,1.2367865,7.1374207,.19777159,.39275765,.98591548,.75177306,12,4,6,9,4,26,4.4331388,.36565095,.82214212,.27404737,.13088506,109.47012,1,.8956666,.60637969,.56538594,.42925438,.32233489,.30012366,.23692553,.23604539,.21047014,.17405014,.071128853,.044773553,-.16398168,-.17034939,-.17209463,-.19414058,-.27572906,-.34639522,-.34937111,-.38320825,-.38674587,-.50626206,-.56884164,-.57541919,,13,4,1,20,9,.056451611,0,0,.096774191,.40967742,.011290323,0,.3532258,0,0,0,0,0,0,.072580643,0,0
43,91.521004,1,2.1216216,2,1,.47297296,.48571429,3,.50675678,.48648649,.25675675,.48305085,2.3599999,6.1199999,.20481928,.22289157,.85294116,.91891891,3,9,5,9,6,17,1.8137914,.4985047,1.2351012,.12351012,.2948114,121.44754,0,.85684562,.77964652,.76005113,.6626789,.31524035,.31420979,.31056303,.24841875,.20246468,.1436781,.08788573,.07375671,-.13140959,-.16678721,-.18915699,-.21233176,-.23854518,-.37159267,-.37381279,-.37450957,-.60486329,-.68474883,-.70267582,-.70500559,,2,9,18,23,14,.2027027,.013513514,.47297296,.22972973,.027027028,.0067567569,0,.047297299,0,0,0,0,0,0,0,0,0
44,55.119999,1,1.8993288,2,2,.38255033,.91228068,3,.44966444,.4295302,.080536909,.39175257,2.5526316,7.3157897,.33986929,.33986929,.51923078,.75,2,2,4,8,7,14,2.7757621,.35253051,.94626611,.23656653,.16698813,126.81422,0,.70826876,.63710296,.57652801,.50721806,.40918455,.38826567,.33675665,.26982138,.2671746,.17735994,.069335289,.054133195,-.031462722,-.09825179,-.20639801,-.2452361,-.34384453,-.44185781,-.44204718,-.46575603,-.4956125,-.503627,-.53581315,-.59124225,,5,0,17,12,10,.3489933,.046979867,.38255033,.080536909,0,.10067114,0,.0067114094,.020134227,0,.013422819,0,0,0,0,0,0
45,144.955,1,2.1880343,0,2,.29914531,.87142855,4,.47435898,.33333334,.16239317,.41463414,1.4513274,4.4424777,.32499999,.32916668,.85897434,.98734176,5,7,4,11,10,14,1.6556863,.60397917,3.6352351,.1136011,.69230163,66.020493,1,.80354422,.78944832,.41738543,.38940576,.37400565,.27371716,.26751977,.23919742,.22948536,.15438227,.12953682,-.097458996,-.1264279,-.23091161,-.2534911,-.26619509,-.26705462,-.31349292,-.34494409,-.35921881,-.40236852,-.45865032,-.45888078,-.48853344,,15,3,10,8,22,.29914531,.072649576,.26068377,.13247864,.02991453,.1923077,0,.0042735045,0,0,.008547009,0,0,0,0,0,0
46,170.392,1,1.876652,0,2,.43171805,.6122449,3,.62114537,.26431718,.15418503,.36434108,1.6125,5.3000002,.23829788,.34893617,.96428573,.68292683,3,3,5,6,5,14,1.3791727,.71440953,1.2528824,.62644118,.21764319,47.889572,0,.84260195,.77234906,.69535893,.54547656,.3598468,.31443876,.2994794,.19730531,.15574676,.082449563,-.0027392646,-.022346633,-.044796247,-.12424123,-.12631512,-.21859908,-.27625382,-.34413177,-.37129709,-.43270084,-.53163111,-.54517543,-.59001631,-.63480914,,7,0,16,19,12,.43171805,0,.26431718,.088105723,.066079296,.11453745,0,.035242289,0,0,0,0,0,0,0,0,0
47,40.021999,2,1.2243589,0,2,.48717949,.67105263,3,.66666669,.32692307,.17948718,.5,1.6326531,3.7755103,.203125,.30208334,.92307693,.96551722,4,8,6,8,4,19,4.7973614,.27407041,.74114817,.12352469,.10427161,121.43321,1,.81567669,.59356612,.55912918,.49436262,.33119175,.29612547,.29265755,.26734513,.26432875,.18341264,.033614542,.0043092039,-.091826595,-.15623786,-.17266864,-.19291076,-.30920991,-.32240656,-.3729811,-.37451589,-.43711275,-.53910798,-.57489729,-.59184426,,19,10,7,14,2,.48717949,0,.32692307,.17948718,0,.0064102565,0,0,0,0,0,0,0,0,0,0,0
