country,meanest1,meancilo1,meancihi1,meanpval1,sdest1,sdcilo1,sdcihi1,meanest2,meancilo2,meancihi2,meanpval2,sdest2,sdcilo2,sdcihi2,meanest3,meancilo3,meancihi3,meanpval3,sdest3,sdcilo3,sdcihi3,nstations,nstationyears
CK,1.0304861,.72676587,1.3301202,0,.296368295627772,.206376053458774,.397681052281193,-1.2937524,-1.7581409,-.84000582,0,.653912974315934,.454420649653775,.840479001042827,-.24364191,-.737055,.31267422,.3436,.748138010140739,.55352901085272,.937983278406024,1,22
CQ,.66236883,.36828992,.94127333,0,.573906831476633,.435559898865515,.76904198144653,-1.4483418,-1.7893906,-1.1315647,0,.6946154044751091,.512163500049616,.895792718383231,.21269354,-.19210194,.59754664,.30239999,.837562896060681,.6207910232630039,1.09765895379769,8,32
CY,.49095902,.35546583,.6131714,0,.705929108034733,.598133051439362,.792051880501409,.80740726,.64465141,.94466525,0,.512296602800422,.446712233682107,.5693195043232,-.019900169,-.19852559,.16588268,.82440001,.903025157695876,.793749428397702,1.01950448130034,8,200
DR,.98327339,.40038258,1.5665185,.0014,.401826662842976,.150414769820394,.737529688238669,-.20792674,-1.0450536,.54784286,.62879997,.808289873895887,.373415720048067,1.41031760337953,-.22070594,-1.1948228,.74886858,.68300003,.852518789098859,.340866114280927,1.52066191002038,3,6
EC,.4820134,.15236293,.79429883,.0044,.837451894010509,.675312307074131,1.03134358513502,-.97240478,-1.2550528,-.69599718,0,.8281725963275171,.673496525995518,.9715305268618331,-.41575947,-.84351736,.032998938,.0682,.919887158277814,.7172017704096501,1.11286748558063,4,33
EI,-.50968915,-.62884164,-.38886574,0,.431669762385219,.368366061637546,.518965820604558,-.81642431,-.95664501,-.65436649,0,.550543436300581,.458221651549822,.619616075734725,.93352234,.71445489,1.1251422,0,.816960861354126,.6758000793994,.919063927243567,12,213
FP,.43215004,.079651706,.77532834,.0148,.854376871328883,.627018024774595,1.1087301514236,-.87919021,-1.1804297,-.57562369,0,.513549288964839,.396148162412976,.628475772396618,-.34185556,-.85688055,.16300082,.1776,.938330344827597,.673630010812154,1.27869313555384,8,29
GI,.50168198,-.14619702,1.1861485,.1366,.601611543143709,.291531885115957,.992125236958138,.19536772,-.47339213,.84995967,.55540001,.696619688732133,.310327795205706,1.08171300821801,-.1001277,-1.087343,.91446638,.84119999,.894074361352668,.328522268129322,1.4647381976464,1,6
GT,.58819014,-.21827222,1.4151896,.15180001,.774134022020845,.311369375649685,1.19036127651677,-.15230529,-.81479216,.50377756,.66079998,.379838474552397,.14909837898344,.657482574236973,-.30452132,-1.3927777,.77483255,.579,.882008182637789,.339598183714692,1.61408190508297,1,5
IC,-1.2260511,-1.3628304,-1.0788341,0,.264746340149826,.22382301254892,.303244382212953,-.78091538,-.93056977,-.5510757,0,.535937553656148,.463110081823684,.6155406130313,.16994397,-.035681523,.35499898,.095600002,.616692030688193,.508453969054108,.6943689801663701,10,164
ID,.9390468,.74657989,1.1189284,0,.445959355811388,.365035379062747,.537667475942024,-.011830521,-.28404379,.22556266,.96619999,.879454306428413,.724807087853849,1.03012231622607,-.12890784,-.43747094,.15182036,.39140001,.874786767975087,.71751944716911,1.02326807419734,49,86
IO,1.1879624,.69973403,1.6952289,0,.195850304166728,.0868554032736659,.316837038311944,-1.4254807,-2.0087647,-.84399629,0,.428327921957747,.239535909280143,.63262847155739,-.41497087,-1.1759816,.36836147,.29280001,.541219517257871,.286684330982415,.90660375736194,1,7
IR,.081106462,-.032598283,.19418074,.15019999,.561037912662314,.495311360176129,.614710359541025,1.2522007,1.0570058,1.4028597,0,.73273749838789,.628181626673783,.826092879459993,.13683002,-.061655335,.31780556,.1512,.871538547152841,.710639727277843,.989982756739736,31,186
JM,1.0906392,.68290013,1.5015676,0,.385054973869462,.23630871756184,.601151246532621,-.24013868,-.80491245,.39342019,.42460001,.789914039273711,.463542396447621,1.18023559672835,-.26818833,-.93317747,.3731178,.43020001,.824945530003344,.44039859679374,1.18369814660523,2,13
