country,station,date,score1,score2,score3,ctryname,meanest1,meancilo1,meancihi1,meanpval1,sdest1,sdcilo1,sdcihi1,meanest2,meancilo2,meancihi2,meanpval2,sdest2,sdcilo2,sdcihi2,meanest3,meancilo3,meancihi3,meanpval3,sdest3,sdcilo3,sdcihi3,nstations,nstations_str,nstationyears
AQ,AQC00914005,1991,.63970077,-.052306712,.24787453,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,2011,1.1344757,-1.8162913,-.23836158,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914135,1969,.42291707,-2.6562877,.32474768,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1981,1.1632798,-2.1275432,-.46803603,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1998,1.2275227,-.85380399,-.39151672,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914902,1962,.74760807,-2.7827649,-.20164649,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1977,1.1209291,-1.2837604,-.45554689,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1984,1.0850093,-1.6648074,-.17139646,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914135,1970,.29469889,-2.501255,.55696464,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914424,1972,.60305583,-2.1636856,.06695921,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914149,1962,.86683971,-2.9547484,-.40114909,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914000,2004,-.17588696,-4.1232905,1.112096,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1989,1.070374,-1.8090754,-.31708443,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914000,1982,.93551594,-2.3336911,-.48335224,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
