ocm,type,est,cilo,cihi,p,category,group,ndocs
ANY,null,137.2502,116,159.025,0,MOURNING,North America,102
ANY,nhs,193,NA,NA,0,MOURNING,North America,102
ANY,null,48.672798,36,62,0,MOURNING,South America,88
ANY,nhs,161,NA,NA,0,MOURNING,South America,88
ANY,null,14.059,8,21,0,WORK,Africa,233
ANY,nhs,36,NA,NA,0,WORK,Africa,233
ANY,null,13.3868,7,21,0,WORK,Asia,215
ANY,nhs,31,NA,NA,0,WORK,Asia,215
ANY,null,3.1726,0,7,0,WORK,Europe,62
ANY,nhs,14,NA,NA,0,WORK,Europe,62
ANY,null,2.8508,0,6,.0888,WORK,Middle America and the Caribbean,37
ANY,nhs,1,NA,NA,.0888,WORK,Middle America and the Caribbean,37
ANY,null,.057599999,0,1,0,WORK,Middle East,6
ANY,nhs,0,NA,NA,0,WORK,Middle East,6
ANY,null,5.0658002,1,10,.0552,WORK,North America,102
ANY,nhs,10,NA,NA,.0552,WORK,North America,102
ANY,null,7.6251998,3,13,.0024,WORK,South America,88
ANY,nhs,17,NA,NA,.0024,WORK,South America,88
ANY,null,174.7646,156,194,0,STORYTELLING,Africa,233
ANY,nhs,269,NA,NA,0,STORYTELLING,Africa,233
ANY,null,99.413399,84,116,0,STORYTELLING,Asia,215
ANY,nhs,138,NA,NA,0,STORYTELLING,Asia,215
ANY,null,10.6804,5,17,0,STORYTELLING,Europe,62
ANY,nhs,49,NA,NA,0,STORYTELLING,Europe,62
ANY,null,4.9889998,2,9,.0264,STORYTELLING,Middle America and the Caribbean,37
ANY,nhs,10,NA,NA,.0264,STORYTELLING,Middle America and the Caribbean,37
ANY,null,.71579999,0,3,.0636,STORYTELLING,Middle East,6
ANY,nhs,3,NA,NA,.0636,STORYTELLING,Middle East,6
ANY,null,50.284599,39,62,.348,STORYTELLING,North America,102
ANY,nhs,45,NA,NA,.348,STORYTELLING,North America,102
ANY,null,166.6656,159,175,.0668,STORYTELLING,South America,88
ANY,nhs,160,NA,NA,.0668,STORYTELLING,South America,88
ANY,null,110.6908,93,129,.0004,PRAISE,Africa,233
ANY,nhs,142,NA,NA,.0004,PRAISE,Africa,233
ANY,null,54.2892,41,69,.2488,PRAISE,Asia,215
ANY,nhs,63,NA,NA,.2488,PRAISE,Asia,215
ANY,null,5.4186001,2,10,.9352,PRAISE,Europe,62
ANY,nhs,6,NA,NA,.9352,PRAISE,Europe,62
ANY,null,11.95,6,19,.9136,PRAISE,Middle America and the Caribbean,37
ANY,nhs,12,NA,NA,.9136,PRAISE,Middle America and the Caribbean,37
ANY,null,1.0896,0,3,.6316000000000001,PRAISE,Middle East,6
ANY,nhs,1,NA,NA,.6316000000000001,PRAISE,Middle East,6
ANY,null,73.597,59,89,.3728,PRAISE,North America,102
ANY,nhs,67,NA,NA,.3728,PRAISE,North America,102
ANY,null,36.1796,26,47,.6688,PRAISE,South America,88
ANY,nhs,39,NA,NA,.6688,PRAISE,South America,88
ANY,null,33.810398,24,44,0,GREETING,Africa,233
ANY,nhs,60,NA,NA,0,GREETING,Africa,233
ANY,null,33.590801,23,45,0,GREETING,Asia,215
ANY,nhs,64,NA,NA,0,GREETING,Asia,215
ANY,null,7.6761999,3,13,0,GREETING,Europe,62
ANY,nhs,34,NA,NA,0,GREETING,Europe,62
ANY,null,4.6564002,1,9,.004,GREETING,Middle America and the Caribbean,37
ANY,nhs,12,NA,NA,.004,GREETING,Middle America and the Caribbean,37
ANY,null,.3594,0,2,.6124000000000001,GREETING,Middle East,6
ANY,nhs,1,NA,NA,.6124000000000001,GREETING,Middle East,6
ANY,null,29.8846,21,40,0,GREETING,North America,102
ANY,nhs,67,NA,NA,0,GREETING,North America,102
ANY,null,22.620001,14,32,0,GREETING,South America,88
ANY,nhs,52,NA,NA,0,GREETING,South America,88
ANY,null,14.1978,8,22,.6836,WAR,Africa,233
ANY,nhs,16,NA,NA,.6836,WAR,Africa,233
ANY,null,18.9186,11,27,.5124,WAR,Asia,215
ANY,nhs,22,NA,NA,.5124,WAR,Asia,215
ANY,null,3.1875999,0,7,.1472,WAR,Europe,62
ANY,nhs,6,NA,NA,.1472,WAR,Europe,62
ANY,null,.40000001,0,2,0,WAR,Middle America and the Caribbean,37
ANY,nhs,0,NA,NA,0,WAR,Middle America and the Caribbean,37
ANY,null,.2472,0,1,0,WAR,Middle East,6
ANY,nhs,0,NA,NA,0,WAR,Middle East,6
ANY,null,159.1776,138,182,.0751999999999999,WAR,North America,102
ANY,nhs,140,NA,NA,.0751999999999999,WAR,North America,102
ANY,null,11.3766,6,18,.8068,WAR,South America,88
ANY,nhs,11,NA,NA,.8068,WAR,South America,88
ANY,null,48.516602,36,61,0,MARRIAGE,Africa,233
ANY,nhs,133,NA,NA,0,MARRIAGE,Africa,233
ANY,null,82.336601,67,98,0,MARRIAGE,Asia,215
ANY,nhs,126,NA,NA,0,MARRIAGE,Asia,215
ANY,null,7.5665998,3,13,0,MARRIAGE,Europe,62
ANY,nhs,27,NA,NA,0,MARRIAGE,Europe,62
