song,duration,number_of_distinct_voices,mean_interval,modal_interval,distance_btwn_modal_intervals,modal_interval_prevalence,rel_strength_modal_intervals,common_intervals_count,amount_of_arpeggiation,stepwise_motion,melodic_thirds,direction_of_motion,duration_of_melodic_arcs,size_of_melodic_arcs,modal_pitch_prev,modal_pitchcls_prev,rel_strength_top_pitches,rel_strength_top_pitchcls,interval_btwn_strongest_pitches,interval_btwn_strongest_pitchcls,number_of_common_pitches,pitch_variety,pitch_class_variety,range,note_density,average_note_duration,maximum_note_duration,minimum_note_duration,variability_of_note_duration,initial_tempo,quality,tonal_certainty_metrics_0,tonal_certainty_metrics_1,tonal_certainty_metrics_2,tonal_certainty_metrics_3,tonal_certainty_metrics_4,tonal_certainty_metrics_5,tonal_certainty_metrics_6,tonal_certainty_metrics_7,tonal_certainty_metrics_8,tonal_certainty_metrics_9,tonal_certainty_metrics_10,tonal_certainty_metrics_11,tonal_certainty_metrics_12,tonal_certainty_metrics_13,tonal_certainty_metrics_14,tonal_certainty_metrics_15,tonal_certainty_metrics_16,tonal_certainty_metrics_17,tonal_certainty_metrics_18,tonal_certainty_metrics_19,tonal_certainty_metrics_20,tonal_certainty_metrics_21,tonal_certainty_metrics_22,tonal_certainty_metrics_23,key1,key2,key3,key4,key5,melodic_interval_histogram_0,melodic_interval_histogram_1,melodic_interval_histogram_2,melodic_interval_histogram_3,melodic_interval_histogram_4,melodic_interval_histogram_5,melodic_interval_histogram_6,melodic_interval_histogram_7,melodic_interval_histogram_8,melodic_interval_histogram_9,melodic_interval_histogram_10,melodic_interval_histogram_11,melodic_interval_histogram_12,melodic_interval_histogram_13,melodic_interval_histogram_14,melodic_interval_histogram_16,melodic_interval_histogram_17
100,46.129002,1,1.1153846,0,2,.65384614,.22352941,3,.84615386,.14615385,.17692308,.35555556,1.5517242,4.4827585,.31788081,.31788081,.89583331,.89583331,7,5,4,4,4,7,3.2734289,.2595107,.70605612,.11767602,.1102884,127.46862,1,.88883561,.65514565,.53141433,.45927218,.38378838,.27823845,.26829764,.24781962,.2256806,.18402313,.098522775,-.046263047,-.15048286,-.18858528,-.21671681,-.223702,-.30505097,-.31842276,-.35284677,-.36782032,-.39634243,-.51365417,-.56889355,-.57225728,5,19,4,6,23,.65384614,0,.14615385,.030769231,.14615385,.0076923082,0,.015384615,0,0,0,0,0,0,0,0,0
101,28.714001,1,1.64,0,2,.51999998,.38461539,4,.68000001,.2,.12,.33333334,1.5,4.8125,.30769232,.30769232,1,1,5,5,3,5,5,9,1.8109633,.55219233,.89731252,.44865626,.18903011,66.866341,1,.76744485,.60005587,.57285726,.53442019,.47946128,.45863289,.38774636,.15705229,.15648165,.14887315,.12604763,.059282962,-.013418848,-.12893763,-.15584761,-.2650297,-.27228594,-.31079218,-.42671052,-.55600703,-.56265813,-.56975049,-.57070154,-.61621684,4,12,20,3,19,.51999998,0,.2,.12,0,.12,0,.039999999,0,0,0,0,0,0,0,0,0
102,210.03999,1,1.5503597,2,2,.40647483,.95575219,3,.56115109,.41007194,.16546762,.3764706,1.7346939,4.3571429,.25401929,.25401929,.78481013,.78481013,2,2,5,8,7,12,1.4806703,.5002315,2.1359999,.178,.37781626,84.269661,0,.81230563,.73909783,.63254863,.61933815,.44164789,.37586156,.303224,.28447881,.28366321,.23700713,.10792569,-.012937902,-.063290536,-.14567512,-.2065884,-.20949812,-.22315884,-.35028484,-.4634918,-.4804633,-.5983125,-.67471611,-.68283945,-.72584158,16,11,8,23,1,.38848922,.0035971219,.40647483,.13309352,.032374103,.025179856,0,.0071942448,.0035971219,0,0,0,0,0,0,0,0
103,79.536003,1,1.5080092,0,2,.47139588,.60194176,2,.64073229,.33867276,.11899313,.42424244,2.2211537,6.25,.24888889,.33333334,.8214286,.74666667,5,5,5,10,7,16,5.6578155,.17261223,.46512282,.077520467,.10495558,193.49728,0,.86514992,.80825114,.58025968,.54841298,.4824363,.38419789,.3695989,.23946419,.20705196,.086352833,.063929021,.041718218,-.020380424,-.19158132,-.21791746,-.32819697,-.37503499,-.38157958,-.43187851,-.4665395,-.48438147,-.53378004,-.60868806,-.63686472,1,14,13,9,21,.47139588,.05491991,.28375286,.045766588,.073226541,.020594966,0,.050343249,0,0,0,0,0,0,0,0,0
104,138.97701,1,.68269229,0,2,.58653843,.44262296,3,.59134614,.40865386,.004807692,.47093022,1.4576272,2.381356,.50232559,.50232559,.4537037,.4537037,2,2,3,6,6,7,3.0940371,.319498,4.3803639,.099553727,.3101387,150.67241,0,.63663554,.5951767,.51417434,.49489012,.2435759,.24098708,.19418779,.14378892,.1223808,.094757482,.073819309,.067303725,.0064137401,-.17287706,-.22040308,-.26795796,-.27871841,-.29449373,-.30223092,-.30250371,-.32677272,-.37436402,-.42244434,-.46532553,6,10,14,4,23,.58653843,.14903846,.25961539,.004807692,0,0,0,0,0,0,0,0,0,0,0,0,0
105,94.403999,1,1.5767195,0,1,.30158731,.80701756,4,.53439152,.46560848,.23280424,.41666666,1.8082192,4.0273972,.35960591,.35960591,.78082192,.78082192,3,9,3,4,4,7,2.1503327,.41786593,1.368174,.15201932,.24660252,65.781113,1,.78473657,.56847805,.36403984,.32579297,.30190891,.13964593,.13514091,.10417604,.091428675,.06223895,.038395882,-.018332651,-.062882759,-.077829629,-.11808437,-.13479942,-.14283021,-.14422688,-.26633129,-.31977242,-.33942026,-.34570014,-.45552343,-.49024928,6,23,3,18,7,.30158731,.24338624,.22222222,.042328041,.19047619,0,0,0,0,0,0,0,0,0,0,0,0
106,47.244999,1,4.0869565,7,7,.34782609,.5,4,.65217394,.17391305,.13043478,.36842105,1.5833334,7.6875,.42307693,.42307693,.72727275,.72727275,7,5,4,4,4,7,2.2012911,.42817086,.543046,.271523,.13414523,110.48788,1,.81457126,.78691512,.50961649,.47902149,.36723208,.35297102,.29833138,.27385396,.19759265,.15422145,.13950764,-.089002281,-.19761315,-.22720569,-.24678639,-.26698634,-.27498147,-.31052908,-.40241167,-.40320545,-.40411094,-.49669474,-.52184671,-.53246057,14,13,5,21,4,.17391305,0,.17391305,.086956523,.043478262,.17391305,0,.34782609,0,0,0,0,0,0,0,0,0
107,37.290001,1,3.5,0,7,.5,1,2,1,0,0,.56666666,1.2,8.1199999,.73846155,.73846155,.35416666,.35416666,7,7,2,2,2,7,1.7430947,.57369232,3.2815199,.29832,.58343124,100.56316,0,.75252235,.72836238,.42182666,.408548,.26445374,.25252828,.19086471,.13963072,.07440149,.061041139,.003801509,-.091439605,-.10393644,-.18379654,-.18916194,-.25803983,-.26631919,-.27764013,-.30892876,-.31224123,-.31231388,-.32109657,-.32488507,-.34818172,6,22,10,21,0,.5,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0
108,92.622002,3,.83065951,0,1,.60606062,.25294119,3,.70944744,.27807486,.099821746,.34959349,1.5279503,3.1987576,.27178729,.42983752,.58152175,.35738832,12,4,4,22,12,21,6.8234329,.3585228,1.1249635,.093746968,.07564602,160.00519,0,.84705073,.71034652,.45781356,.41954783,.34967303,.30835721,.26185068,.15150164,.099971652,.051231761,.012137256,-.10174736,-.13696058,-.17991322,-.18464465,-.26220265,-.30264747,-.30443081,-.3078177,-.32871374,-.34269971,-.34970695,-.40898162,-.45901534,18,0,15,19,8,.60606062,.15329768,.12477718,.071301252,.028520498,.0071301251,.001782531,.0035650621,.0035650621,0,0,0,0,0,0,0,0
109,18.844,1,4.3548388,2,3,.32258064,.89999998,4,.38709676,.32258064,.16129032,.67741936,1.55,6.5999999,.3125,.3125,.80000001,.80000001,2,2,4,6,5,12,1.6981533,.588875,.87646514,.21911629,.24150985,68.456802,0,.81223154,.64687937,.62670249,.51804185,.50386322,.45871401,.30029222,.28083155,.25452909,.053398397,.0046524652,-.001784691,-.005200787,-.10686391,-.15682289,-.15726759,-.34546039,-.37808713,-.41684034,-.46657082,-.57406181,-.60119128,-.60334605,-.64663851,23,0,19,7,11,0,0,.32258064,.16129032,0,.29032257,0,.16129032,0,0,.064516127,0,0,0,0,0,0
110,164.062,1,2.1017613,0,2,.48336595,.35627529,3,.74168295,.17221135,.18003914,.32196969,1.8333334,7.4097223,.23869801,.41048825,.719697,.33039647,12,5,4,17,12,18,3.370677,.27272716,1.6217002,.067570843,.15699616,221.98924,0,.83367336,.65346181,.62097353,.55291343,.39875662,.25490257,.13967422,.11679579,.11286457,.068106912,-.0091417339,-.036381811,-.14071989,-.22148785,-.23150733,-.2526263,-.26154855,-.27831912,-.30161256,-.36133137,-.39258268,-.39979342,-.42862952,-.43644065,5,8,17,9,20,.48336595,0,.17221135,.14872798,.031311154,.080234833,.0019569469,.037181996,0,.0039138938,.0078277886,0,.033268102,0,0,0,0
111,83.588997,1,2.0153847,0,3,.38461539,.69999999,4,.69230771,.16153847,.30769232,.41249999,1.3333334,4.2833333,.63698632,.63698632,.31182796,.31182796,3,3,3,5,5,10,1.7466413,.51527464,2.476711,.30958888,.38565198,96.902702,1,.86173642,.53465092,.44054949,.3717775,.31319863,.30431762,.26873481,.084672898,.043024871,-.010820626,-.018584553,-.030878616,-.057309981,-.097481646,-.13206553,-.1759555,-.19562253,-.19657537,-.22760117,-.34082374,-.41958028,-.43663484,-.43964314,-.44308564,2,20,7,17,1,.38461539,0,.16153847,.26923078,.038461536,.14615385,0,0,0,0,0,0,0,0,0,0,0
112,135.737,1,.29764453,0,4,.94004285,.029612755,1,.96788007,.0042826552,.02783726,.42857143,1.4,6.6999998,.80961925,.80961925,.14356436,.14356436,4,8,2,4,4,9,3.6762269,.26263809,2.7303419,.097512215,.23099075,153.82689,0,.77160317,.65594691,.48265055,.38039941,.24921329,.23992956,.21930043,.1476167,.0059135938,-.033833206,-.045214359,-.08448071,-.11138206,-.13615637,-.1559571,-.22554876,-.22703879,-.27164078,-.27629316,-.27646518,-.29001623,-.31831595,-.34849238,-.35173854,18,8,14,3,21,.94004285,.0042826552,0,0,.02783726,.017130621,0,0,0,.010706638,0,0,0,0,0,0,0
113,33.202999,1,2.139535,2,2,.41860464,.58333331,3,.53488374,.41860464,.24418604,.36923078,1.5853659,4.3658538,.27272728,.27272728,1,1,5,7,4,5,5,9,2.650363,.29749191,1.2770385,.10641987,.2541292,93.967415,0,.79137862,.74342746,.62503165,.4853107,.41058919,.37598228,.32813811,.31360093,.21221264,.070593037,.03620445,.0039802408,-.086186908,-.087676801,-.19091205,-.20738506,-.38747704,-.39945123,-.40653834,-.46903691,-.47267875,-.55707043,-.55843788,-.57359791,14,12,10,23,1,.24418604,0,.41860464,.23255815,.011627907,.046511628,0,.046511628,0,0,0,0,0,0,0,0,0
114,74.488998,1,1.3168317,0,2,.44554454,.91111112,2,.57425743,.41584158,.12871288,.4107143,1.6969697,3.969697,.59292036,.59292036,.43283582,.43283582,2,2,2,6,6,8,1.5170025,.65919471,1.3897202,.27794403,.33659616,53.967701,0,.68220931,.63185698,.45747703,.44056016,.2505106,.17119075,.13500151,.11299154,.08900483,.052265331,.045554519,-.0068710772,-.074318454,-.11689243,-.15431497,-.1950987,-.21578178,-.25612271,-.2830826,-.3235209,-.32620329,-.33279508,-.38386711,-.39975342,21,4,7,15,8,.44554454,.0099009899,.40594059,.069306932,.059405942,.0099009899,0,0,0,0,0,0,0,0,0,0,0
